gen,best_fitness,ff_lr_0,ff_lr_1,ff_lr_2,thresh_0,thresh_1,thresh_2,plasticity_0,plasticity_1,plasticity_2,activation_mix
17,-81.45275908081295,0.01706546352599381,0.002149367488315035,0.02803197407323079,3.7688248467834655,4.949241962468741,0.6713055798995287,0.0014550294048465602,0.10836076550792262,0.14055810628393722,0.0
18,-53.1808483261407,0.02342614368463759,0.0029080842461128584,0.02443747549907077,3.953722202911031,5.1333165511622125,0.4780255766145819,0.001545960226441617,0.12397150470813334,0.14259968672746293,0.0
19,-97.3540228002034,0.013116731979804837,0.0014292545818156393,0.0036462766594126932,5.524793069968172,3.0469937423647404,3.6399656985144326,0.010490318269747008,0.006095595671363361,0.08997947045392563,0.8417854127693434
20,-103.41322192020286,0.011259838590946359,0.001929182802153114,0.0018428886557302763,5.193363852291583,2.2901796450175143,3.3604468707894606,0.017778600681833005,0.009213221161267354,0.10799466464066966,0.26521204948068045
21,-53.22100198627038,0.011545946751774755,0.0009916505713371,0.047575972952404816,3.5475243167878836,5.092474359734617,0.1,0.001628961959394496,0.3157260138253754,0.2250447303811904,0.058808162842848136
22,-90.09048212349072,0.009086354589163861,0.000924790577426847,0.03639823746513119,4.107115628750631,5.294765731160074,0.1,0.0016294937171885881,0.298035267992852,0.30613321760407075,0.09885207872583004
23,-93.7830506208516,0.009315390920167884,0.0013113995066733803,0.058759095736775055,3.8174730377266393,4.841682187524845,0.2035241193886393,0.0016822609961878133,0.31566487546762884,0.2779395299324307,0.1803522667491551
24,-39.76153915509984,0.00922359572011057,0.0008612915710330215,0.06816210944932208,3.891398997420154,5.51702342480631,0.30085401617446017,0.0010758883893263306,0.2572188064762498,0.23569240513662273,0.025088174818614514
25,-89.12319049266095,0.02248480836719514,0.0010661884853185955,0.009885158887385047,4.742508927306466,1.1322331111409343,2.3752353760882987,0.05507803634725265,0.028606822313029683,0.17601252914894527,0.35725587469215986
26,-93.85050012091327,0.025143593435234833,0.00034808028941064266,0.03571269205531648,4.832628064782665,2.3851830345013947,1.9278106442428313,0.005449435778171891,0.00594692623666761,0.18761877274540573,0.45062583972128756
27,-98.15235102360644,0.030936800776996207,0.00021300791054913154,0.03323071038124425,5.02263957212161,2.2205501511550545,1.9566349745663894,0.006496340366820579,0.004894168419206198,0.2892874424494877,0.4090194951883229
28,-97.7076516973754,0.005234085029722237,0.00019238144194543084,0.011629686823206541,5.266707554456675,2.325286959612167,2.041607580708539,0.007609292629538574,0.019381929495364342,0.30968988244188894,0.31871098549427235
29,-97.76664924775267,0.02217032669305121,0.0024733947307369296,0.000451795585645064,3.6426035497562235,0.9365458425552529,3.2120172362337502,0.006189354102521256,0.026814111211090712,0.24516511815477396,0.6892137246448555
30,-110.26744975746246,0.015688933217470277,0.0023717412275980274,0.0007305819760725402,3.5321936738216504,1.5443556765983324,3.5086503660647113,0.009377290872169878,0.03740711507743731,0.23849946478316172,0.3957191616703508
31,-110.63337435283763,0.031473099875628116,0.004409199256429531,0.0006854429466381288,3.4202929766491263,0.8723720510007296,2.478141769126289,0.00341545299854483,0.02515546476107056,0.23138660514613324,0.7635734880422931
32,-90.23304406881998,0.01689955818902862,0.0003875669674664577,0.009392443632278551,6.128410741456003,1.5149699421208889,3.5124484722317506,0.011285591724480739,0.0012789305635206854,0.07965025279843567,0.29004419954725746
33,-87.30543944904937,0.05817956030851796,0.00018401238768272671,0.03822700211452872,5.018392118161572,1.4464623454226562,3.0922839863274527,0.0025628812636104294,0.0008906188317201608,0.35392487840438436,0.6830069447432034
