generation,best_fitness,best_ever,mean_fitness,std_fitness,total_evals,time,sigma
69,-47.77137325093478,33.02437568514565,-149.61152581152393,126.86459818246959,11900,347.91253638267517,0.025
70,-38.08972365517216,33.02437568514565,-169.96817313071188,135.87993968079454,12070,353.3496720790863,0.0255
71,-32.17287701519725,33.02437568514565,-126.50878054747558,134.54290010751285,12240,358.4894778728485,0.026000000000000002
72,-18.186913065063344,33.02437568514565,-139.85534672044326,130.92085090855298,12410,363.8759026527405,0.0265
73,-35.28769165591998,33.02437568514565,-169.29117357449584,174.8194635804969,12580,369.1237823963165,0.027000000000000003
74,-12.379173139153362,33.02437568514565,-142.31738995883643,135.2314076784064,12750,374.6517400741577,0.0275
75,22.46538332429898,33.02437568514565,-118.08501470831075,109.39381064252787,12920,380.5562918186188,0.027999999999999997
76,-24.94253413506875,33.02437568514565,-167.31629377804478,178.50455283213233,13090,386.3124647140503,0.0285
77,31.859005441276413,33.02437568514565,-129.99689178141824,121.2246297320916,13260,391.88962602615356,0.028999999999999998
78,47.41459167900773,47.41459167900773,-101.37878319813055,85.25266373001148,13430,397.26472306251526,0.02
79,4.3740435524182475,47.41459167900773,-80.9610866935131,54.9818642892428,13600,402.66645193099976,0.020499999999999997
